2018-10-19 00:30:18,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:30:23,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:30:31,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:30:39,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:30:43,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:30:47,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:30:54,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:30:57,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:31:00,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:31:04,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:31:07,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:31:09,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:31:11,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:31:15,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:31:19,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:31:20,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:31:22,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:31:25,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:31:27,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:31:30,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:31:33,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:31:37,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:31:41,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:31:44,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:31:48,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:31:50,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:31:52,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:31:56,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:32:01,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:32:04,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:32:06,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:32:08,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:32:11,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:32:14,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:32:16,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:32:21,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:32:24,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:32:29,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
2018-10-19 00:32:34,01538.HK,0.730,0.030,4.286%,0.00,0.00,5.39,592.11M
